Name,Category,One Line Description,Authentication,Credential Availability,Public API,REST,GraphQL,Webhook Support,API Breadth,MCP Availability,Toolkit Buildability,Primary Blocker,Evidence URL,Confidence,Buildability Score,Needs Human Review,Docs URL,Developer Portal URL,Auth Docs URL,Pricing URL
ClickUp,Productivity and Project Management,"Customizable workspace app offering tasks, docs, and goals APIs.","OAuth2, API Key",Available via developer portal,Yes,Yes,No,Yes,Comprehensive,Yes,High,None identified,https://clickup.com/api/,100.0,100.0,False,https://clickup.com/api/,https://app.clickup.com,https://clickup.com/api/developer-portal/authentication/,https://clickup.com/pricing
Coda,Productivity and Project Management,"Collaborative text editor combining documents, spreadsheets, and databases.","OAuth2, Bearer Token",Available via developer portal,Yes,Yes,No,Yes,Comprehensive,No,High,None identified,https://coda.io/developers/apis/v1,100.0,85.0,False,https://coda.io/developers/apis/v1,https://coda.io/account,https://coda.io/developers/apis/v1#section/Authentication,https://coda.io/pricing
Smartsheet,Productivity and Project Management,SaaS platform for work management and collaboration using row/sheet concepts.,"OAuth2, Bearer Token",Available via developer portal,Yes,Yes,No,Yes,Comprehensive,No,High,None identified,https://smartsheet.com/developers,100.0,85.0,False,https://smartsheet.com/developers,https://app.smartsheet.com,https://smartsheet.redoc.ly/#section/Authentication,https://www.smartsheet.com/pricing
Harvest,Productivity and Project Management,Time tracking and business invoicing software offering developer access.,"OAuth2, Bearer Token",Available via developer portal,Yes,Yes,No,No,Moderate,No,Medium,None identified,https://help.getharvest.com/api-v2/,100.0,70.0,False,https://help.getharvest.com/api-v2/,https://id.getharvest.com/developers,https://help.getharvest.com/api-v2/authentication/,https://www.getharvest.com/pricing
Stripe,Finance and Fintech,Global financial infrastructure and payment processing API suite.,"API Key, Bearer Token, OAuth2",Available via developer portal,Yes,Yes,No,Yes,Comprehensive,Yes,High,None identified,https://stripe.com/docs/api,100.0,100.0,False,https://stripe.com/docs/api,https://dashboard.stripe.com,https://stripe.com/docs/api/authentication,https://stripe.com/pricing
Plaid,Finance and Fintech,Fintech API connecting consumer bank accounts to applications.,API Key,Available via developer portal,Yes,Yes,No,Yes,Comprehensive,Yes,High,None identified,https://plaid.com/docs/,100.0,95.0,False,https://plaid.com/docs/,https://dashboard.plaid.com,https://plaid.com/docs/quickstart/#keys,https://plaid.com/pricing
Binance,Finance and Fintech,Global cryptocurrency exchange marketplace with public websocket and REST trading APIs.,API Key,Available via developer portal,Yes,Yes,No,No,Comprehensive,No,Medium,Requires verified personal account with regulatory restrictions in certain jurisdictions,https://binance-docs.github.io/apidocs/spot/en/,100.0,65.0,False,https://binance-docs.github.io/apidocs/spot/en/,https://www.binance.com/en/my/settings/api-management,https://binance-docs.github.io/apidocs/spot/en/#api-library-list,https://www.binance.com/en/fee/schedule
Paygent Connect,Finance and Fintech,Payment settlement gateway serving merchant accounts.,API Key,Gated/Requires sales outreach,Yes,Yes,No,No,Limited,No,Low,Partner gated / Requires corporate verification and physical sales request,https://paygent.com,100.0,20.0,True,https://paygent.com,https://paygent.com,https://paygent.com,https://paygent.com
iPayX,Finance and Fintech,Billing management and corporate invoice software.,Basic Auth,Gated/Requires sales outreach,No,No,No,No,Limited,No,Low,No documented public API available for developer sign-ups,https://ipayx.ai/docs,100.0,15.0,True,https://ipayx.ai/docs,https://ipayx.ai,https://ipayx.ai,https://ipayx.ai
QuickBooks,Finance and Fintech,"Cloud financial software for accounting, invoices, and business tax filings.",OAuth2,Available via developer portal,Yes,Yes,No,Yes,Comprehensive,No,High,None identified,https://developer.intuit.com/app/developer/qbo/docs/api/service/accounting/v3,100.0,85.0,False,https://developer.intuit.com/app/developer/qbo/docs/api/service/accounting/v3,https://developer.intuit.com/app/developer/dashboard,https://developer.intuit.com/app/developer/qbo/docs/develop/authentication-and-authorization,https://quickbooks.intuit.com/pricing/
Xero,Finance and Fintech,Accounting platform offering transaction syncing and ledger tools.,OAuth2,Available via developer portal,Yes,Yes,No,Yes,Comprehensive,No,High,None identified,https://developer.xero.com/documentation/api/accounting/overview,100.0,85.0,False,https://developer.xero.com/documentation/api/accounting/overview,https://developer.xero.com/app/dashboard,https://developer.xero.com/documentation/guides/oauth2/overview,https://www.xero.com/pricing/
Brex,Finance and Fintech,"Corporate card, spend management, and corporate banking platform.","OAuth2, Bearer Token",Available via developer portal,Yes,Yes,No,Yes,Moderate,No,High,None identified,https://developer.brex.com/,100.0,85.0,False,https://developer.brex.com/,https://dashboard.brex.com,https://developer.brex.com/docs/authentication,https://www.brex.com/pricing
Ramp,Finance and Fintech,Finance automation and corporate spend platform.,"OAuth2, API Key",Available via developer portal,Yes,Yes,No,Yes,Moderate,No,High,None identified,https://docs.ramp.com/,100.0,85.0,False,https://docs.ramp.com/,https://ramp.com/developer-hub,https://docs.ramp.com/developer-hub/oauth,https://ramp.com/pricing
PitchBook,Finance and Fintech,Private capital market database and financial platform.,API Key,Gated/Requires sales outreach,Yes,Yes,No,No,Comprehensive,No,Low,Requires high enterprise subscription tier and custom sales contract signoff,https://pitchbook.com,80.0,15.0,True,https://pitchbook.com,https://pitchbook.com,https://pitchbook.com,https://pitchbook.com/demo
NotebookLM,"AI, Research and Media-native",Personalized AI research assistant notebook developed by Google.,"OAuth2, API Key",Available via developer portal,Yes,Yes,No,No,Limited,No,Medium,Managed via Google Cloud Vertex AI integrations,https://cloud.google.com/gemini,100.0,70.0,False,https://cloud.google.com/gemini,https://console.cloud.google.com,https://cloud.google.com/vertex-ai/docs/reference,https://cloud.google.com/vertex-ai/pricing
Otter AI,"AI, Research and Media-native","AI transcription, meeting notes, and conversation capture tool.",API Key,Gated/Requires sales outreach,No,No,No,No,Limited,Yes,Low,No documented public API available for developer sign-ups,https://help.otter.ai,80.0,30.0,True,https://help.otter.ai,https://otter.ai,https://help.otter.ai,https://otter.ai/pricing
Fathom,"AI, Research and Media-native","Free AI meeting recorder that records, transcribes, and highlights business calls.",OAuth2,Gated/Requires sales outreach,Yes,Yes,No,Yes,Limited,No,Low,API is partner-gated for authorized integration clients,https://fathom.video,100.0,40.0,True,https://fathom.video,https://fathom.video,https://fathom.video,https://fathom.video/pricing
Consensus,"AI, Research and Media-native",AI search engine that finds research insights from peer-reviewed scientific papers.,OAuth2,Gated/Requires sales outreach,No,No,No,No,Limited,No,Low,No documented public developer API portal open for signup,https://consensus.app,80.0,20.0,True,https://consensus.app,https://consensus.app,https://consensus.app,https://consensus.app/pricing/
Reducto,"AI, Research and Media-native",Developer tool for ingestion and OCR parsing of PDFs/documents.,API Key,Available via developer portal,Yes,Yes,No,No,Limited,No,Medium,None identified,https://reducto.ai,100.0,65.0,False,https://reducto.ai,https://dashboard.reducto.ai,https://reducto.ai/docs,https://reducto.ai/#pricing
Devin,"AI, Research and Media-native",Autonomous AI software developer agent platform.,"API Key, Bearer Token",Available via developer portal,Yes,Yes,No,Yes,Moderate,Yes,High,None identified,https://docs.devin.ai/,100.0,95.0,False,https://docs.devin.ai/,https://devin.ai,https://docs.devin.ai/api,https://devin.ai
higgsfield,"AI, Research and Media-native",AI video creation and editing application system.,API Key,Gated/Requires sales outreach,No,No,No,No,Limited,No,Low,No documented public API available for developer sign-ups,https://higgsfield.ai,100.0,20.0,True,https://higgsfield.ai,https://higgsfield.ai,https://higgsfield.ai,https://higgsfield.ai
Mermaid CLI,"AI, Research and Media-native",Command-line interface tools to generate diagrams from Markdown scripts.,None,Available via developer portal,Yes,No,No,No,Limited,No,Medium,"Open source CLI utility, not an online SaaS service API",https://github.com/mermaid-js/mermaid-cli,100.0,50.0,False,https://github.com/mermaid-js/mermaid-cli,https://github.com/mermaid-js/mermaid-cli,https://github.com/mermaid-js/mermaid-cli,https://github.com/mermaid-js/mermaid-cli
YouTube Transcript,"AI, Research and Media-native",Developer utility service for grabbing transcripts of YouTube videos.,API Key,Available via developer portal,Yes,Yes,No,No,Limited,No,Medium,None identified,https://transcriptapi.com,100.0,65.0,False,https://transcriptapi.com,https://transcriptapi.com,https://transcriptapi.com,https://transcriptapi.com
Grain,"AI, Research and Media-native",Meeting recording software and automated transcription API.,"OAuth2, API Key",Gated/Requires sales outreach,Yes,Yes,No,Yes,Limited,No,Low,API is partner-gated for authorized integration clients,https://grain.com,100.0,40.0,True,https://grain.com,https://grain.com,https://grain.com,https://grain.com/pricing
